company_name,industry,job_title,experience_level,employment_type,posted_date,company_size,city,country,min_salary,max_salary,avg_salary,year,month,day_name,quarter,AWS,Azure,BigQuery,C++,CUDA,Excel,FastAPI,Flask,GCP,Hugging Face,KDB+,Keras,LangChain,MLflow,NumPy,Pandas,Power BI,PyTorch,Python,R,Reinforcement Learning,SQL,Scikit-learn,TensorFlow,skills_count
Martin and Sons,E-commerce,NLP Engineer,Entry,Full-time,2023-09-27,Startup,South Michael,Micronesia,102770.0,117026.0,109898.0,2023,September,Wednesday,Q3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
Frank-Duarte,Retail,Quant Researcher,Senior,Full-time,2024-11-20,Mid,Christianberg,Equatorial Guinea,137004.0,193975.0,165489.5,2024,November,Wednesday,Q4,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,8
Rogers Ltd,Education,NLP Engineer,Mid,Remote,2024-07-08,Large,New Katieborough,Fiji,129842.0,216741.0,173291.5,2024,July,Monday,Q3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4
Wright-Evans,Automotive,NLP Engineer,Senior,Remote,2024-04-06,Startup,Stephaniechester,Luxembourg,124669.0,217866.0,171267.5,2024,April,Saturday,Q2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4
Preston Ltd,E-commerce,ML Engineer,Entry,Full-time,2025-05-14,Mid,South Tim,Czech Republic,137523.0,180097.0,158810.0,2025,May,Wednesday,Q2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4
Smith-Moore,Automotive,AI Product Manager,Entry,Internship,2024-04-29,Startup,Blevinsburgh,Vanuatu,138184.0,192857.0,165520.5,2024,April,Monday,Q2,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6
Webb and Sons,Healthcare,Data Scientist,Senior,Remote,2024-10-19,Mid,Parkmouth,Canada,100845.0,159745.0,130295.0,2024,October,Saturday,Q4,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,9
Gates LLC,E-commerce,ML Engineer,Mid,Internship,2024-08-29,Large,Stevenhaven,Botswana,115578.0,207180.0,161379.0,2024,August,Thursday,Q3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5
"Whitaker, Walker and Sandoval",Retail,Quant Researcher,Entry,Remote,2024-01-19,Large,Gregorymouth,Latvia,122521.0,175168.0,148844.5,2024,January,Friday,Q1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,9
Humphrey LLC,Retail,Quant Researcher,Entry,Full-time,2023-12-28,Large,Lake Alexander,Russia,62483.0,105216.0,83849.5,2023,December,Thursday,Q4,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,7
"Adams, Stevenson and Wagner",E-commerce,NLP Engineer,Mid,Remote,2024-11-25,Startup,North Nicholas,Senegal,74317.0,148899.0,111608.0,2024,November,Monday,Q4,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,7
"Thomas, Hurst and Becker",Tech,NLP Engineer,Senior,Internship,2023-12-06,Mid,Leeton,Malawi,68115.0,125323.0,96719.0,2023,December,Wednesday,Q4,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6
Sherman-Nguyen,Healthcare,NLP Engineer,Mid,Internship,2025-06-13,Mid,Suzanneview,Taiwan,89840.0,109693.0,99766.5,2025,June,Friday,Q2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4
Johnson-Keller,Finance,NLP Engineer,Mid,Remote,2024-12-20,Mid,Whitestad,Barbados,107786.0,126713.0,117249.5,2024,December,Friday,Q4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,7
Le PLC,Education,Quant Researcher,Senior,Internship,2025-01-02,Large,Taraburgh,Algeria,44309.0,77284.0,60796.5,2025,January,Thursday,Q1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,8
"Abbott, Nielsen and Young",Healthcare,Data Analyst,Entry,Contract,2025-02-28,Startup,New Richard,Chad,124616.0,172767.0,148691.5,2025,February,Friday,Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,5
Thomas-Ruiz,Finance,Data Analyst,Mid,Internship,2025-01-31,Startup,South Donaldton,Georgia,142616.0,216391.0,179503.5,2025,January,Friday,Q1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,8
"Good, Ware and Cruz",Finance,Data Analyst,Entry,Contract,2024-06-07,Startup,North Michael,Trinidad and Tobago,70932.0,161568.0,116250.0,2024,June,Friday,Q2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4
Gay PLC,Tech,Quant Researcher,Senior,Full-time,2024-06-27,Startup,Port Patriciaport,Togo,54565.0,94461.0,74513.0,2024,June,Thursday,Q2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,5
Kirby-Zuniga,Healthcare,Data Scientist,Entry,Full-time,2023-09-22,Mid,Danielchester,Indonesia,112660.0,179478.0,146069.0,2023,September,Friday,Q3,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7
"Castillo, Campbell and Robinson",Tech,AI Product Manager,Mid,Contract,2024-09-30,Startup,Alexandriaburgh,Saint Kitts and Nevis,55330.0,104941.0,80135.5,2024,September,Monday,Q3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,7
Carter LLC,Finance,NLP Engineer,Senior,Internship,2023-11-25,Startup,West Charles,Trinidad and Tobago,110439.0,183071.0,146755.0,2023,November,Saturday,Q4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,6
Hall Group,Automotive,Computer Vision Engineer,Entry,Contract,2024-04-01,Large,North Denise,Monaco,97714.0,134140.0,115927.0,2024,April,Monday,Q2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
Huynh PLC,Finance,Computer Vision Engineer,Mid,Remote,2023-12-25,Startup,Kirbyside,Lithuania,87250.0,156869.0,122059.5,2023,December,Monday,Q4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,6
"Smith, Haas and Mendez",Retail,AI Researcher,Entry,Contract,2024-11-16,Mid,Lake John,Australia,77074.0,163272.0,120173.0,2024,November,Saturday,Q4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,6
"Briggs, Shaw and Berry",E-commerce,ML Engineer,Mid,Remote,2025-05-14,Startup,East Ashleyland,Poland,116061.0,159814.0,137937.5,2025,May,Wednesday,Q2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4
Boyd PLC,Retail,Data Scientist,Senior,Internship,2024-06-10,Mid,Port Misty,Netherlands,87411.0,136106.0,111758.5,2024,June,Monday,Q2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5
"Sanders, Mejia and Townsend",Automotive,Data Analyst,Entry,Internship,2025-06-27,Mid,Deleonchester,Honduras,88562.0,159008.0,123785.0,2025,June,Friday,Q2,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,8
Hernandez Inc,E-commerce,Quant Researcher,Senior,Remote,2025-02-08,Mid,Nicoleport,Burkina Faso,41935.0,95608.0,68771.5,2025,February,Saturday,Q1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,8
"Parrish, White and Grant",E-commerce,NLP Engineer,Mid,Full-time,2023-11-10,Startup,Kimside,Botswana,126443.0,145937.0,136190.0,2023,November,Friday,Q4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,5
"Carroll, Lucero and Lambert",Healthcare,AI Product Manager,Entry,Full-time,2024-09-05,Large,Simsside,Chad,99978.0,189975.0,144976.5,2024,September,Thursday,Q3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,8
"Thomas, Waller and Kelly",Education,Quant Researcher,Entry,Contract,2025-03-11,Large,South Jeremiah,Mexico,65214.0,151832.0,108523.0,2025,March,Tuesday,Q1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,7
"Franklin, Wright and Berg",Automotive,Quant Researcher,Mid,Internship,2025-03-16,Mid,Ramirezmouth,Pakistan,71101.0,158421.0,114761.0,2025,March,Sunday,Q1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6
"Coleman, Gray and Roach",Healthcare,ML Engineer,Entry,Internship,2025-02-14,Startup,New Rachelmouth,Italy,119200.0,129563.0,124381.5,2025,February,Friday,Q1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6
Mooney-Decker,Finance,Data Scientist,Mid,Contract,2024-08-04,Startup,Jennyland,Turkey,122083.0,203812.0,162947.5,2024,August,Sunday,Q3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5
Wood LLC,Automotive,Computer Vision Engineer,Entry,Contract,2025-02-21,Mid,Port Johnville,Morocco,144773.0,159408.0,152090.5,2025,February,Friday,Q1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,6
Copeland Group,Education,NLP Engineer,Entry,Remote,2024-03-19,Mid,North Josephshire,Yemen,78317.0,161397.0,119857.0,2024,March,Tuesday,Q1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,7
Richards PLC,Finance,NLP Engineer,Mid,Full-time,2024-05-07,Large,Lewismouth,Chad,75575.0,120477.0,98026.0,2024,May,Tuesday,Q2,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,9
"Melendez, Williams and Williamson",E-commerce,AI Product Manager,Entry,Full-time,2023-09-27,Large,Steinside,Italy,133185.0,231638.0,182411.5,2023,September,Wednesday,Q3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,6
"Ellis, Crane and Boyle",E-commerce,Computer Vision Engineer,Entry,Contract,2025-05-30,Mid,North Jason,Mauritania,73140.0,164506.0,118823.0,2025,May,Friday,Q2,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,9
Foley-Moore,Finance,Data Scientist,Mid,Contract,2025-05-17,Large,Thomasfort,Kyrgyzstan,69031.0,115150.0,92090.5,2025,May,Saturday,Q2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,7
Wright and Sons,Tech,Quant Researcher,Mid,Full-time,2024-11-09,Large,Chavezstad,Togo,49382.0,141727.0,95554.5,2024,November,Saturday,Q4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,7
Williams-Vargas,Healthcare,Quant Researcher,Senior,Full-time,2024-11-10,Startup,Carlland,Montenegro,135916.0,233596.0,184756.0,2024,November,Sunday,Q4,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,8
Hill-Huff,Tech,ML Engineer,Senior,Remote,2025-04-23,Startup,Jessicamouth,Portugal,149271.0,215582.0,182426.5,2025,April,Wednesday,Q2,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,9
Meyer PLC,Education,Data Analyst,Entry,Internship,2023-11-16,Mid,Caitlynmouth,Mauritania,56348.0,123497.0,89922.5,2023,November,Thursday,Q4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6
Boyd-Carlson,Retail,ML Engineer,Senior,Full-time,2025-02-11,Large,Villarrealhaven,Kiribati,69159.0,139847.0,104503.0,2025,February,Tuesday,Q1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,8
Scott-Gardner,Tech,AI Researcher,Senior,Remote,2025-06-21,Large,North Laurie,Burundi,78305.0,162525.0,120415.0,2025,June,Saturday,Q2,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7
Jackson Group,Finance,AI Product Manager,Mid,Internship,2023-09-25,Startup,East Juliashire,Turkey,64238.0,115477.0,89857.5,2023,September,Monday,Q3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,7
"Sullivan, Silva and Sawyer",Finance,Data Analyst,Senior,Remote,2024-06-27,Mid,North Jonathan,Netherlands,53583.0,148644.0,101113.5,2024,June,Thursday,Q2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4
"Page, Bonilla and Cohen",Retail,AI Product Manager,Entry,Remote,2024-05-08,Startup,Port Jacobchester,Solomon Islands,50457.0,126635.0,88546.0,2024,May,Wednesday,Q2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,7
Young-Wright,Retail,Computer Vision Engineer,Mid,Internship,2024-10-26,Large,Kaylaburgh,Norway,97883.0,172449.0,135166.0,2024,October,Saturday,Q4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,5
Patel PLC,E-commerce,AI Product Manager,Entry,Remote,2025-02-17,Startup,South Jamie,Comoros,94965.0,141198.0,118081.5,2025,February,Monday,Q1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4
"Lopez, Nelson and Meyer",E-commerce,AI Researcher,Entry,Internship,2025-01-06,Startup,Lake Michelleport,Serbia,81202.0,154117.0,117659.5,2025,January,Monday,Q1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,7
"Harris, Porter and Walter",Retail,AI Researcher,Mid,Contract,2023-12-19,Large,Port Kristenmouth,Saudi Arabia,106117.0,199125.0,152621.0,2023,December,Tuesday,Q4,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,8
Dominguez and Sons,Automotive,AI Product Manager,Senior,Internship,2024-04-08,Large,Rodriguezstad,Ethiopia,137229.0,193525.0,165377.0,2024,April,Monday,Q2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5
Griffith-Garner,Retail,Data Analyst,Senior,Remote,2024-12-21,Startup,Meredithview,Lesotho,40995.0,54162.0,47578.5,2024,December,Saturday,Q4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,7
Smith LLC,Healthcare,Data Analyst,Mid,Full-time,2023-12-09,Mid,South Tylerhaven,Saint Lucia,129140.0,193460.0,161300.0,2023,December,Saturday,Q4,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,7
Smith-Jones,Education,Data Analyst,Mid,Full-time,2025-06-15,Mid,South Karenville,Barbados,86690.0,120765.0,103727.5,2025,June,Sunday,Q2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4
"Maddox, Steele and Jones",Retail,ML Engineer,Entry,Internship,2025-03-12,Mid,Billyfort,Yemen,85816.0,149983.0,117899.5,2025,March,Wednesday,Q1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5
Williams PLC,Healthcare,Quant Researcher,Senior,Remote,2024-02-12,Startup,New Jefferyfort,Togo,60805.0,99890.0,80347.5,2024,February,Monday,Q1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,6
"Hurst, Manning and Wood",Education,Data Analyst,Senior,Remote,2025-05-02,Large,Petersenborough,Vietnam,118377.0,137651.0,128014.0,2025,May,Friday,Q2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,6
"Howard, Carr and Joseph",Automotive,NLP Engineer,Mid,Internship,2023-11-28,Large,Leeberg,Montenegro,81382.0,175328.0,128355.0,2023,November,Tuesday,Q4,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5
Lewis-Smith,Automotive,ML Engineer,Senior,Remote,2025-09-09,Startup,North Christopherfurt,Liberia,132555.0,209536.0,171045.5,2025,September,Tuesday,Q3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,6
Luna and Sons,Automotive,AI Researcher,Mid,Contract,2023-12-06,Mid,Weberland,Timor-Leste,54185.0,86768.0,70476.5,2023,December,Wednesday,Q4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,6
King-Sheppard,E-commerce,AI Researcher,Mid,Internship,2025-07-03,Startup,Zamorafurt,Ukraine,101020.0,182230.0,141625.0,2025,July,Thursday,Q3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Meyer-Shaffer,E-commerce,NLP Engineer,Mid,Internship,2024-02-21,Startup,Sharpborough,Dominica,49529.0,68621.0,59075.0,2024,February,Wednesday,Q1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,7
"Ellis, Page and Smith",Tech,Quant Researcher,Entry,Contract,2024-10-12,Startup,North Carriestad,Iran,88756.0,103530.0,96143.0,2024,October,Saturday,Q4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4
Martinez-Fitzgerald,Healthcare,ML Engineer,Senior,Internship,2025-01-20,Large,South Charles,Ivory Coast,108574.0,194850.0,151712.0,2025,January,Monday,Q1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5
Johnson Inc,Education,AI Researcher,Mid,Internship,2025-08-03,Large,Lake Kristen,Azerbaijan,111184.0,166588.0,138886.0,2025,August,Sunday,Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,7
Camacho PLC,Finance,Data Analyst,Entry,Full-time,2024-01-14,Large,Anthonyland,Equatorial Guinea,120456.0,210505.0,165480.5,2024,January,Sunday,Q1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,9
Sweeney-Griffith,Finance,AI Product Manager,Entry,Internship,2025-09-17,Mid,Michaelchester,North Macedonia,86740.0,124608.0,105674.0,2025,September,Wednesday,Q3,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"Stafford, Owens and Thompson",Education,Data Analyst,Entry,Full-time,2025-04-25,Mid,Lake Debra,Armenia,78116.0,122008.0,100062.0,2025,April,Friday,Q2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,6
"Gonzalez, Watts and Thompson",E-commerce,Computer Vision Engineer,Mid,Contract,2024-11-01,Startup,New Danielburgh,Russia,42962.0,75277.0,59119.5,2024,November,Friday,Q4,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,7
Graham Group,Tech,Data Analyst,Senior,Full-time,2024-03-21,Large,Lake Melissaville,Poland,51640.0,64834.0,58237.0,2024,March,Thursday,Q1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,8
Ward-Allen,Education,Quant Researcher,Mid,Contract,2024-09-10,Large,Jeffreyburgh,Seychelles,98118.0,167073.0,132595.5,2024,September,Tuesday,Q3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5
"Garrett, Hernandez and Anderson",Finance,Quant Researcher,Mid,Internship,2023-11-16,Mid,Whiteville,Sweden,140819.0,222611.0,181715.0,2023,November,Thursday,Q4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4
Long Inc,Finance,AI Researcher,Entry,Internship,2025-03-23,Startup,Jacksonmouth,Uzbekistan,82496.0,127505.0,105000.5,2025,March,Sunday,Q1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,7
Cummings-Nash,Finance,AI Researcher,Entry,Internship,2023-10-17,Startup,Adamton,Croatia,124249.0,174855.0,149552.0,2023,October,Tuesday,Q4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,6
"Sawyer, Donovan and Vargas",Automotive,NLP Engineer,Mid,Contract,2023-10-19,Mid,Lake Erica,Netherlands,81426.0,145890.0,113658.0,2023,October,Thursday,Q4,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,8
"Stewart, Gutierrez and Simpson",Tech,Data Scientist,Entry,Internship,2025-03-21,Large,South Paige,Saint Vincent and the Grenadines,51104.0,130405.0,90754.5,2025,March,Friday,Q1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5
Jones-Marshall,Finance,NLP Engineer,Entry,Remote,2025-08-26,Startup,Scottberg,Madagascar,143177.0,155682.0,149429.5,2025,August,Tuesday,Q3,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
Murphy-Rosales,Education,NLP Engineer,Mid,Remote,2025-07-13,Large,West Jesse,Nigeria,139393.0,162837.0,151115.0,2025,July,Sunday,Q3,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7
Solis-Thornton,Healthcare,ML Engineer,Entry,Full-time,2024-10-10,Mid,East Autumn,Armenia,111746.0,137892.0,124819.0,2024,October,Thursday,Q4,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7
Michael Ltd,Healthcare,Computer Vision Engineer,Senior,Full-time,2025-08-09,Startup,Maldonadoville,Poland,107083.0,124486.0,115784.5,2025,August,Saturday,Q3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,6
Alexander and Sons,Education,AI Researcher,Senior,Full-time,2024-11-15,Startup,Richardside,Paraguay,126865.0,190621.0,158743.0,2024,November,Friday,Q4,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,7
"Travis, Fletcher and Rodriguez",Finance,Computer Vision Engineer,Mid,Contract,2023-12-18,Large,Port Julieburgh,Kuwait,127896.0,227744.0,177820.0,2023,December,Monday,Q4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,7
Lozano-Hill,Healthcare,Data Analyst,Entry,Contract,2024-05-22,Large,South Stephanieville,Bahamas,133789.0,170501.0,152145.0,2024,May,Wednesday,Q2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,7
"Farmer, Leach and Norris",Retail,Computer Vision Engineer,Mid,Contract,2025-09-03,Mid,Williamsbury,Dominican Republic,126422.0,179630.0,153026.0,2025,September,Wednesday,Q3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
Price-Nichols,Healthcare,ML Engineer,Entry,Contract,2025-07-22,Startup,South Fredview,Poland,53156.0,131761.0,92458.5,2025,July,Tuesday,Q3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,5
